kb_model,location,roi_height,roi_width,angle,description
03B01M004-B01,R2230,205,96,0,CHIP RES 33 F 1/16W 0402
03B01M004-B01,R2980,205,96,0,CHIP RESISTOR 0 F 1/16W 0402
03B01M004-B01,R1091,205,96,90,CHIP RESISTOR 2.2K F 1/16W 0402
03B01M004-B01,R1680,205,96,90,CHIP RES 200K F 1/16W 0402
03B01M004-B01,R3369,205,96,90,CHIP RES 51.1 F 1/16W 0402
03B01M004-B01,R1194,205,96,90,CHIP RES 10K F 1/16W 0402
03B01M004-B01,R684,205,96,0,CHIP RES 2K F 1/16W 0402
03B01M004-B01,R2403,205,96,90,CHIP RES 10K F 1/16W 0402
03B01M004-B01,R2797,205,96,0,CHIP RES 4.7K F 1/16W 0402
03B01M004-B01,R295,205,96,90,CHIP RES 240 F 1/16W 0402
03B01M004-B01,R1048,205,96,0,CHIP RES 120 J 1/16W 0402
03B01M004-B01,R1560,205,96,90,CHIP RES 10 F 1/16W 0402
03B01M004-B01,R890,205,96,90,CHIP RESISTOR 0 F 1/16W 0402
03B01M004-B01,R278,205,96,90,CHIP RES 240 F 1/16W 0402
03B01M004-B01,R2023,205,96,90,CHIP RESISTOR 0 F 1/16W 0402
03B01M004-B01,R615,205,96,90,CHIP RES 100 F 1/16W 0402
03B01M004-B01,R3057,205,96,0,CHIP RESISTOR 0 F 1/16W 0402
03B01M004-B01,R2317,205,96,0,CHIP RES 1K F 1/16W 0402
03B01M004-B01,R3354,205,96,90,CHIP RES 10K F 1/16W 0402
03B01M004-B01,R324,205,96,90,CHIP RES 64.9 F 1/16W 0402
03B01M004-B01,R93,205,96,90,CHIP RES 90.9 F 1/16W 0402
03B01M004-B01,R953,205,96,90,CHIP RES 240 F 1/16W 0402
03B01M004-B01,R1074,205,96,0,CHIP RES 120 J 1/16W 0402
03B01M004-B01,R3362,205,96,90,CHIP RESISTOR 0 F 1/16W 0402
03B01M004-B01,R8,205,96,0,CHIP RESISTOR 0 F 1/16W 0402
03B01M004-B01,R510,205,96,90,CHIP RESISTOR 0 F 1/16W 0402
03B01M004-B01,R2676,205,96,90,CHIP RES 4.7K F 1/16W 0402
03B01M004-B01,R1446,205,96,90,CHIP RESISTOR 0 F 1/16W 0402
03B01M004-B01,R3367,205,96,90,CHIP RES 4.7K F 1/16W 0402
03B01M004-B01,R2979,205,96,0,CHIP RESISTOR 0 F 1/16W 0402
03B01M004-B01,R1620,205,96,90,CHIP RES 4.7K F 1/16W 0402
03B01M004-B01,R3373,205,96,90,CHIP RES 4.7K F 1/16W 0402
03B01M004-B01,R1009,205,96,0,CHIP RES 150 F 1/16W 0402
03B01M004-B01,R602,205,96,0,CHIP RES 4.7K F 1/16W 0402
03B01M004-B01,R2430,205,96,90,CHIP RES SMD 0402 470 1% 1/16W
03B01M004-B01,R1763,205,96,0,CHIP RES 10K F 1/16W 0402
03B01M004-B01,R2471,205,96,90,CHIP RES SMD 0402 4.99K F 1/16W
03B01M004-B01,R1870,205,96,90,CHIP RES 100 F 1/16W 0402
03B01M004-B01,R571,205,96,0,CHIP RES 10K F 1/16W 0402
03B01M004-B01,R1178,205,96,0,CHIP RES 4.7K F 1/16W 0402
03B01M004-B01,R1654,205,96,0,CHIP RES 100 F 1/16W 0402
03B01M004-B01,R77,205,96,0,CHIP RES 42.2 F 1/16W 0402
03B01M004-B01,R1045,205,96,90,CHIP RES 120 J 1/16W 0402
03B01M004-B01,R547,205,96,0,CHIP RESISTOR 0 F 1/16W 0402
03B01M004-B01,R435,205,96,90,CHIP RES 100 F 1/16W 0402
03B01M004-B01,R968,205,96,0,CHIP RESISTOR 0 F 1/16W 0402
03B01M004-B01,R1338,205,96,90,CHIP RES 4.7K F 1/16W 0402
03B01M004-B01,R3372,205,96,90,CHIP RES 51.1 F 1/16W 0402
03B01M004-B01,R986,205,96,90,CHIP RES 33 F 1/16W 0402
03B01M004-B01,R587,205,96,0,CHIP RES 10K F 1/16W 0402
03B01M004-B01,R2765,205,96,90,CHIP RESISTOR 0 F 1/16W 0402
03B01M004-B01,R3183,205,96,0,CHIP RESISTOR 0 F 1/16W 0402
03B01M004-B01,R1031,205,96,90,CHIP RES 120 J 1/16W 0402
03B01M004-B01,R1970,205,96,0,CHIP RES 10K F 1/16W 0402
03B01M004-B01,R1071,205,96,90,CHIP RES 120 J 1/16W 0402
03B01M004-B01,R1167,205,96,90,CHIP RESISTOR 0 F 1/16W 0402
03B01M004-B01,R570,205,96,0,CHIP RES 10K F 1/16W 0402
03B01M004-B01,R1647,205,96,90,CHIP RES 150 F 1/16W 0402
03B01M004-B01,R404,205,96,90,CHIP RES 1K F 1/16W 0402
03B01M004-B01,R626,205,96,0,CHIP RESISTOR 0 F 1/16W 0402
03B01M004-B01,R980,205,96,90,CHIP RES 1K F 1/16W 0402
03B01M004-B01,R416,205,96,0,CHIP RES 100 F 1/16W 0402
03B01M004-B01,R1027,205,96,90,CHIP RES 120 J 1/16W 0402
03B01M004-B01,R1648,205,96,0,CHIP RESISTOR 0 F 1/16W 0402
03B01M004-B01,R2656,205,96,90,CHIP RES 4.7K F 1/16W 0402
03B01M004-B01,R2773,205,96,90,CHIP RES 4.7K F 1/16W 0402
03B01M004-B01,R2768,205,96,0,CHIP RESISTOR 0 F 1/16W 0402
03B01M004-B01,R2091,205,96,90,CHIP RES 10 F 1/16W 0402
03B01M004-B01,R227,205,96,0,CHIP RES 49.9 F 1/16W 0402
03B01M004-B01,R329,205,96,90,CHIP RES 10K F 1/16W 0402
03B01M004-B01,R1300,205,96,0,CHIP RES 100K F 1/16W 0402
03B01M004-B01,R557,205,96,0,CHIP RES 49.9 F 1/16W 0402
03B01M004-B01,R1199,205,96,90,CHIP RES 4.7K F 1/16W 0402
03B01M004-B01,R1578,205,96,90,CHIP RES 4.7K F 1/16W 0402
03B01M004-B01,R617,205,96,90,CHIP RES 150 F 1/16W 0402
03B01M004-B01,R1759,205,96,90,CHIP RES 10K F 1/16W 0402
03B01M004-B01,R731,205,96,90,CHIP RES 42.2 F 1/16W 0402
03B01M004-B01,R2779,205,96,90,CHIP RES 4.7K F 1/16W 0402
03B01M004-B01,R1752,205,96,90,CHIP RESISTOR 0 F 1/16W 0402
03B01M004-B01,R1119,205,96,90,CHIP RESISTOR 0 F 1/16W 0402
03B01M004-B01,R2947,205,96,90,CHIP RESISTOR 0 F 1/16W 0402
03B01M004-B01,R790,205,96,90,CHIP RES 1K F 1/16W 0402
03B01M004-B01,R3082,205,96,90,CHIP RESISTOR 0 F 1/16W 0402
03B01M004-B01,R515,205,96,90,CHIP RESISTOR 0 F 1/16W 0402
03B01M004-B01,R2978,205,96,0,CHIP RESISTOR 0 F 1/16W 0402
03B01M004-B01,R3402,205,96,90,CHIP RES 10K F 1/16W 0402
03B01M004-B01,R2504,205,96,0,CHIP RES 10K F 1/16W 0402
03B01M004-B01,R2252,205,96,90,CHIP RES 4.7K F 1/16W 0402
03B01M004-B01,R103,205,96,90,CHIP RES 49.9 F 1/16W 0402
03B01M004-B01,R638,205,96,90,CHIP RES 33 F 1/16W 0402
03B01M004-B01,R79,205,96,90,CHIP RES 42.2 F 1/16W 0402
03B01M004-B01,R1172,205,96,0,CHIP RES 4.7K F 1/16W 0402
03B01M004-B01,R2090,205,96,90,CHIP RESISTOR 0 F 1/16W 0402
03B01M004-B01,R2320,205,96,0,CHIP RES 1K F 1/16W 0402
03B01M004-B01,R211,205,96,90,CHIP RES 49.9 F 1/16W 0402
03B01M004-B01,R902,205,96,0,CHIP RESISTOR 0 F 1/16W 0402
03B01M004-B01,R2324,205,96,0,CHIP RES SMD 0402 4.99K F 1/16W
03B01M004-B01,R619,205,96,90,CHIP RES 150 F 1/16W 0402
03B01M004-B01,R1006,205,96,90,CHIP RES 8.2K F 1/16W 0402
03B01M004-B01,R560,205,96,0,CHIP RESISTOR 0 F 1/16W 0402
03B01M004-B01,R1762,205,96,90,CHIP RESISTOR 22OHM F 1/16W 0402
03B01M004-B01,R2766,205,96,90,CHIP RESISTOR 0 F 1/16W 0402
03B01M004-B01,R904,205,96,90,CHIP RES 10K F 1/16W 0402
03B01M004-B01,R606,205,96,0,CHIP RES 4.7K F 1/16W 0402
03B01M004-B01,R1312,205,96,90,CHIP RES 100K F 1/16W 0402
03B01M004-B01,R202,205,96,0,CHIP RES 100 F 1/16W 0402
03B01M004-B01,R396,205,96,90,CHIP RES 150 F 1/16W 0402
03B01M004-B01,R457,205,96,0,CHIP RES 10 F 1/16W 0402
03B01M004-B01,R583,205,96,0,CHIP RES 10K F 1/16W 0402
03B01M004-B01,R1177,205,96,0,CHIP RES 4.7K F 1/16W 0402
03B01M004-B01,R2591,205,96,90,CHIP RES 147K F 1/16W 0402
03B01M004-B01,R3371,205,96,0,CHIP RES 51.1 F 1/16W 0402
03B01M004-B01,R551,205,96,90,CHIP RES 49.9 F 1/16W 0402
03B01M004-B01,R413,205,96,0,CHIP RES 100 F 1/16W 0402
03B01M004-B01,R2803,205,96,90,CHIP RES 10K F 1/16W 0402
03B01M004-B01,R1862,205,96,90,CHIP RESISTOR 0 F 1/16W 0402
03B01M004-B01,R1642,205,96,90,CHIP RES 1K F 1/16W 0402
03B01M004-B01,R895,205,96,0,CHIP RES 4.7K F 1/16W 0402
03B01M004-B01,R1744,205,96,0,CHIP RES 10K F 1/16W 0402
03B01M004-B01,R3279,205,96,90,CHIP RES 42.2 F 1/16W 0402
03B01M004-B01,R2769,205,96,90,CHIP RES 4.7K F 1/16W 0402
03B01M004-B01,R1571,205,96,0,CHIP RESISTOR 0 F 1/16W 0402
03B01M004-B01,R1514,205,96,0,CHIP RES 33 F 1/16W 0402
03B01M004-B01,R982,205,96,90,CHIP RESISTOR 0 F 1/16W 0402
03B01M004-B01,R777,205,96,0,CHIP RESISTOR 0 F 1/16W 0402
03B01M004-B01,R361,205,96,90,CHIP RESISTOR 0 F 1/16W 0402
03B01M004-B01,R502,205,96,90,CHIP RESISTOR 0 F 1/16W 0402
03B01M004-B01,R919,205,96,0,CHIP RES 1K F 1/16W 0402
03B01M004-B01,R1075,205,96,90,CHIP RES 120 J 1/16W 0402
03B01M004-B01,R1028,205,96,0,CHIP RES 120 J 1/16W 0402
03B01M004-B01,R924,205,96,90,CHIP RESISTOR 0 F 1/16W 0402
03B01M004-B01,R213,205,96,90,CHIP RES 150 F 1/16W 0402
03B01M004-B01,R321,205,96,90,CHIP RES 49.9 F 1/16W 0402
03B01M004-B01,R976,205,96,90,CHIP RESISTOR 0 F 1/16W 0402
03B01M004-B01,R1667,205,96,90,CHIP RES 4.7K F 1/16W 0402
03B01M004-B01,R1229,205,96,0,CHIP RES 300 J 1/16W 0402
03B01M004-B01,R436,205,96,0,CHIP RES 150 F 1/16W 0402
03B01M004-B01,R1331,205,96,0,CHIP RES 2.26K F 1/16W 0402
03B01M004-B01,R105,205,96,0,CHIP RES 150 F 1/16W 0402
03B01M004-B01,R747,205,96,0,CHIP RES 49.9 F 1/16W 0402
03B01M004-B01,R2581,205,96,90,CHIP RESISTOR 1.21M F 1/16W 0402
03B01M004-B01,R275,205,96,90,CHIP RES 10 F 1/16W 0402
03B01M004-B01,R37,205,96,90,CHIP RESISTOR 0 F 1/16W 0402
03B01M004-B01,R1189,205,96,90,CHIP RES 4.7K F 1/16W 0402
03B01M004-B01,R625,205,96,0,CHIP RESISTOR 0 F 1/16W 0402
03B01M004-B01,R367,205,96,0,CHIP RES 150 F 1/16W 0402
03B01M004-B01,R1743,205,96,90,CHIP RES 10K F 1/16W 0402
03B01M004-B01,R1118,205,96,90,CHIP RESISTOR 0 F 1/16W 0402
03B01M004-B01,R3353,205,96,90,CHIP RES 10K F 1/16W 0402
03B01M004-B01,R2485,205,96,0,CHIP RES 33 F 1/16W 0402
03B01M004-B01,R2168,205,96,90,CHIP RES SMD 0402 4.99K F 1/16W
03B01M004-B01,R2425,205,96,90,CHIP RES 8.2K F 1/16W 0402
03B01M004-B01,R274,205,96,90,CHIP RES 10 F 1/16W 0402
03B01M004-B01,R492,205,96,0,CHIP RESISTOR 0 F 1/16W 0402
03B01M004-B01,R2163,205,96,90,CHIP RES SMD 0402 4.99K F 1/16W
03B01M004-B01,R3144,205,96,0,CHIP RES 4.7K F 1/16W 0402
03B01M004-B01,R54,205,96,90,CHIP RESISTOR 0 F 1/16W 0402
03B01M004-B01,R926,205,96,0,CHIP RESISTOR 0 F 1/16W 0402
03B01M004-B01,R3401,205,96,90,CHIP RES 10K F 1/16W 0402
03B01M004-B01,R1532,205,96,0,CHIP RESISTOR 0 F 1/16W 0402
03B01M004-B01,R1748,205,96,0,CHIP RES SMD 0402 470 1% 1/16W
03B01M004-B01,R1309,205,96,0,CHIP RES 10 F 1/16W 0402
03B01M004-B01,R74,205,96,90,CHIP RES 10K F 1/16W 0402
03B01M004-B01,R1863,205,96,90,CHIP RESISTOR 0 F 1/16W 0402
03B01M004-B01,R2033,205,96,90,CHIP RESISTOR 0 F 1/16W 0402
03B01M004-B01,R2067,205,96,90,CHIP RES 8.06K F 1/16W 0402
03B01M004-B01,R458,205,96,90,CHIP RES 402 1/16W F 0402
03B01M004-B01,R397,205,96,0,CHIP RES 348 F 1/16W 0402
03B01M004-B01,R2649,205,96,0,CHIP RES 100 F 1/16W 0402
03B01M004-B01,R983,205,96,90,CHIP RES 33 F 1/16W 0402
03B01M004-B01,R3296,205,96,90,CHIP RES 4.7K F 1/16W 0402
03B01M004-B01,R1113,205,96,0,CHIP RES 49.9 F 1/16W 0402
03B01M004-B01,R576,205,96,0,CHIP RES 10K F 1/16W 0402
03B01M004-B01,R2694,205,96,90,CHIP RES 10K F 1/16W 0402
03B01M004-B01,R2253,205,96,90,CHIP RES 4.7K F 1/16W 0402
03B01M004-B01,R2219,205,96,90,CHIP RES 10 F 1/16W 0402
03B01M004-B01,R2776,205,96,90,CHIP RES 4.7K F 1/16W 0402
03B01M004-B01,R1873,205,96,90,CHIP RESISTOR 0 F 1/16W 0402
03B01M004-B01,R504,205,96,90,CHIP RESISTOR 0 F 1/16W 0402
03B01M004-B01,R3403,205,96,90,CHIP RES 10K F 1/16W 0402
03B01M004-B01,R552,205,96,90,CHIP RES 49.9 F 1/16W 0402
03B01M004-B01,R3355,205,96,0,CHIP RES 10K F 1/16W 0402
03B01M004-B01,R3368,205,96,90,CHIP RES 4.7K F 1/16W 0402
03B01M004-B01,R1155,205,96,90,CHIP RES 4.7K F 1/16W 0402
03B01M004-B01,R807,205,96,0,CHIP RES 2K F 1/16W 0402
03B01M004-B01,R2771,205,96,90,CHIP RES 4.7K F 1/16W 0402
03B01M004-B01,R3305,205,96,0,CHIP RES 10K F 1/16W 0402
03B01M004-B01,R2658,205,96,0,CHIP RES 4.7K F 1/16W 0402
03B01M004-B01,R1014,205,96,90,CHIP RES 17.8K F 1/16W 0402
03B01M004-B01,R3027,205,96,0,CHIP RES 10K F 1/16W 0402
03B01M004-B01,R3034,205,96,0,CHIP RESISTOR 0 F 1/16W 0402
03B01M004-B01,R3251,205,96,0,CHIP RES 4.7K F 1/16W 0402
03B01M004-B01,R2085,205,96,90,CHIP RES 10 F 1/16W 0402
03B01M004-B01,R1645,205,96,0,CHIP RES 10K F 1/16W 0402
03B01M004-B01,R1123,205,96,0,CHIP RES 33 F 1/16W 0402
03B01M004-B01,R3357,205,96,90,CHIP RES 10K F 1/16W 0402
03B01M004-B01,R1079,205,96,0,CHIP RESISTOR 2.2K F 1/16W 0402
03B01M004-B01,R1593,205,96,90,CHIP RES 4.7K F 1/16W 0402
03B01M004-B01,R2368,205,96,90,CHIP RES SMD 0402 470 1% 1/16W
03B01M004-B01,R629,205,96,90,CHIP RES 33 F 1/16W 0402
03B01M004-B01,R1512,205,96,0,CHIP RES 33 F 1/16W 0402
03B01M004-B01,R376,205,96,90,CHIP RES 150 F 1/16W 0402
03B01M004-B01,R1946,205,96,90,CHIP RES 8.06K F 1/16W 0402
03B01M004-B01,R1208,205,96,0,CHIP RESISTOR 0 F 1/16W 0402
03B01M004-B01,R1746,205,96,0,CHIP RES 10K F 1/16W 0402
03B01M004-B01,R817,205,96,0,CHIP RESISTOR 0 F 1/16W 0402
03B01M004-B01,R1171,205,96,0,CHIP RES 4.7K F 1/16W 0402
03B01M004-B01,R1245,205,96,0,CHIP RES 1K F 1/16W 0402
03B01M004-B01,R1042,205,96,0,CHIP RES 120 J 1/16W 0402
03B01M004-B01,R215,205,96,90,CHIP RES 49.9 F 1/16W 0402
03B01M004-B01,R1111,205,96,0,CHIP RESISTOR 0 F 1/16W 0402
03B01M004-B01,R1473,205,96,90,CHIP RES SMD 0402 4.99K F 1/16W
03B01M004-B01,R2653,205,96,0,CHIP RES 100 F 1/16W 0402
03B01M004-B01,R1679,205,96,90,CHIP RES 47K F 1/16W 0402
03B01M004-B01,R960,205,96,0,CHIP RESISTOR 0 F 1/16W 0402
03B01M004-B01,R822,205,96,0,CHIP RES 2.26K F 1/16W 0402
03B01M004-B01,R2977,205,96,0,CHIP RESISTOR 0 F 1/16W 0402
03B01M004-B01,R2468,205,96,90,CHIP RES SMD 0402 4.99K F 1/16W
03B01M004-B01,R1902,205,96,90,CHIP RESISTOR 0 F 1/16W 0402
03B01M004-B01,R554,205,96,0,CHIP RES 49.9 F 1/16W 0402
03B01M004-B01,R620,205,96,90,CHIP RES 1K F 1/16W 0402
03B01M004-B01,R1020,205,96,90,CHIP RESISTOR 0 F 1/16W 0402
03B01M004-B01,R985,205,96,90,CHIP RES 33 F 1/16W 0402
03B01M004-B01,R1037,205,96,90,CHIP RES 120 J 1/16W 0402
03B01M004-B01,R1284,205,96,0,CHIP RES 10 F 1/16W 0402
03B01M004-B01,R2194,205,96,0,CHIP RES  6.65K F 1/16W 0402
03B01M004-B01,R931,205,96,90,CHIP RESISTOR 0 F 1/16W 0402
03B01M004-B01,R1252,205,96,0,CHIP RES 1.43K F 1/16W 0402
03B01M004-B01,R217,205,96,90,CHIP RES 33 F 1/16W 0402
03B01M004-B01,R3048,205,96,0,CHIP RES 4.7K F 1/16W 0402
03B01M004-B01,R1039,205,96,90,CHIP RES 120 J 1/16W 0402
03B01M004-B01,R1547,205,96,90,CHIP RESISTOR 0 F 1/16W 0402
03B01M004-B01,R2777,205,96,0,CHIP RES 4.7K F 1/16W 0402
03B01M004-B01,R1035,205,96,90,CHIP RES 120 J 1/16W 0402
03B01M004-B01,R1148,205,96,90,CHIP RESISTOR 0 F 1/16W 0402
03B01M004-B01,R2784,205,96,90,CHIP RES 4.7K F 1/16W 0402
03B01M004-B01,R1019,205,96,90,CHIP RESISTOR 0 F 1/16W 0402
03B01M004-B01,R2399,205,96,0,CHIP RES 4.7K F 1/16W 0402
03B01M004-B01,R2781,205,96,90,CHIP RES 4.7K F 1/16W 0402
03B01M004-B01,R610,205,96,90,CHIP RES 1K F 1/16W 0402
03B01M004-B01,R71,205,96,90,CHIP RES 10K F 1/16W 0402
03B01M004-B01,R621,205,96,90,CHIP RES 49.9 F 1/16W 0402
03B01M004-B01,R3376,205,96,90,CHIP RES 4.7K F 1/16W 0402
03B01M004-B01,R319,205,96,90,CHIP RES 49.9 F 1/16W 0402
03B01M004-B01,R550,205,96,90,CHIP RES 49.9 F 1/16W 0402
03B01M004-B01,R1197,205,96,90,CHIP RES 4.7K F 1/16W 0402
03B01M004-B01,R1592,205,96,90,CHIP RES 4.7K F 1/16W 0402
03B01M004-B01,R290,205,96,90,CHIP RES 10 F 1/16W 0402
03B01M004-B01,R109,205,96,90,CHIP RES 42.2 F 1/16W 0402
03B01M004-B01,R2316,205,96,0,CHIP RES SMD 0402 4.99K F 1/16W
03B01M004-B01,R2693,205,96,0,CHIP RES 10K F 1/16W 0402
03B01M004-B01,R2721,205,96,90,CHIP RESISTOR 0 F 1/16W 0402
03B01M004-B01,R1963,205,96,90,CHIP RES 10K F 1/16W 0402
03B01M004-B01,R2983,205,96,0,CHIP RESISTOR 0 F 1/16W 0402
03B01M004-B01,R3375,205,96,90,CHIP RES 4.7K F 1/16W 0402
03B01M004-B01,R896,205,96,0,CHIP RES 4.7K F 1/16W 0402
03B01M004-B01,R3290,205,96,0,CHIP RES 4.7K F 1/16W 0402
03B01M004-B01,R627,205,96,0,CHIP RES 33 F 1/16W 0402
03B01M004-B01,R928,205,96,90,CHIP RES 4.7K F 1/16W 0402
03B01M004-B01,R1974,205,96,90,CHIP RESISTOR 0 F 1/16W 0402
03B01M004-B01,R127,205,96,90,CHIP RES 240 F 1/16W 0402
03B01M004-B01,R1686,205,96,90,CHIP RES 1K F 1/16W 0402
03B01M004-B01,R1615,205,96,90,CHIP RES 60.4OHM B 1/16W 0402 TH
03B01M004-B01,R1629,205,96,0,CHIP RES 300 J 1/16W 0402
03B01M004-B01,R2461,205,96,90,CHIP RES 2K F 1/16W 0402
03B01M004-B01,R1110,205,96,0,CHIP RESISTOR 0 F 1/16W 0402
03B01M004-B01,R507,205,96,90,CHIP RESISTOR 0 F 1/16W 0402
03B01M004-B01,R628,205,96,0,CHIP RES 33 F 1/16W 0402
03B01M004-B01,R239,205,96,90,CHIP RES 240 F 1/16W 0402
03B01M004-B01,R2946,205,96,90,CHIP RESISTOR 0 F 1/16W 0402
03B01M004-B01,R555,205,96,90,CHIP RES 49.9 F 1/16W 0402
03B01M004-B01,R1088,205,96,90,CHIP RESISTOR 2.2K F 1/16W 0402
03B01M004-B01,R614,205,96,90,CHIP RES 4.7K F 1/16W 0402
03B01M004-B01,R652,205,96,90,CHIP RES 42.2 F 1/16W 0402
03B01M004-B01,R119,205,96,90,CHIP RESISTOR 0 F 1/16W 0402
03B01M004-B01,R1454,205,96,90,CHIP RES 4.7K F 1/16W 0402
03B01M004-B01,R593,205,96,0,CHIP RES 4.7K F 1/16W 0402
03B01M004-B01,R3374,205,96,90,CHIP RES 4.7K F 1/16W 0402
03B01M004-B01,R2780,205,96,90,CHIP RES 4.7K F 1/16W 0402
03B01M004-B01,R1150,205,96,90,CHIP RESISTOR 0 F 1/16W 0402
03B01M004-B01,R360,205,96,0,CHIP RESISTOR 0 F 1/16W 0402
03B01M004-B01,R1102,205,96,0,CHIP RES 4.7K F 1/16W 0402
03B01M004-B01,R394,205,96,0,CHIP RESISTOR 0 F 1/16W 0402
03B01M004-B01,R828,205,96,0,CHIP RES 100 F 1/16W 0402
03B01M004-B01,R3298,205,96,0,CHIP RESISTOR 0 F 1/16W 0402
03B01M004-B01,R3359,205,96,90,CHIP RES 10K F 1/16W 0402
03B01M004-B01,R452,205,96,90,CHIP RES 100 F 1/16W 0402
03B01M004-B01,R3370,205,96,90,CHIP RES 200 F 1/16W 0402
03B01M004-B01,R622,205,96,90,CHIP RES 1K F 1/16W 0402
03B01M004-B01,R496,205,96,0,CHIP RESISTOR 0 F 1/16W 0402
03B01M004-B01,R1021,205,96,90,CHIP RESISTOR 0 F 1/16W 0402
03B01M004-B01,R328,205,96,90,CHIP RES 1K F 1/16W 0402
03B01M004-B01,R1740,205,96,0,CHIP RES 4.7K F 1/16W 0402
03B01M004-B01,R1161,205,96,0,CHIP RES 4.7K F 1/16W 0402
03B01M004-B01,R3297,205,96,0,CHIP RESISTOR 0 F 1/16W 0402
03B01M004-B01,R516,205,96,90,CHIP RESISTOR 0 F 1/16W 0402
03B01M004-B01,R781,205,96,0,CHIP RES 42.2 F 1/16W 0402
03B01M004-B01,R2782,205,96,90,CHIP RES 4.7K F 1/16W 0402
