kb_model,location,roi_height,roi_width,angle,description
01A03M001-B01,R69,205,96,0,CHIP RES 4.7K F 1/16W 0402
01A03M001-B01,R46,205,96,90,CHIP RES 0 F 1/16W 0402
01A03M001-B01,R50,205,96,90,CHIP RES 100 F 1/16W 0402
01A03M001-B01,R70,205,96,0,CHIP RES 4.7K F 1/16W 0402
01A03M001-B01,R45,205,96,90,CHIP RES 0 F 1/16W 0402
01A03M001-B01,R52,205,96,0,CHIP RES 4.7K F 1/16W 0402
01A03M001-B01,R54,205,96,0,CHIP RES 1K F 1/16W 0402
01A03M001-B01,R58,205,96,0,CHIP RES 10K F 1/16W 0402
01A03M001-B01,R55,205,96,0,CHIP RES 100K F 1/16W 0402
01A03M001-B01,R49,205,96,90,CHIP RES 0 F 1/16W 0402
01A03M001-B01,R48,205,96,90,CHIP RES 0 F 1/16W 0402
01A03M001-B01,R60,205,96,90,CHIP RES 100K F 1/16W 0402
01A03M001-B01,R90,205,96,0,CHIP RES 10K F 1/16W 0402
01A03M001-B01,R47,205,96,90,CHIP RES 100 F 1/16W 0402
01A03M001-B01,R57,205,96,90,CHIP RES 1K F 1/16W 0402
01A03M001-B01,R51,205,96,0,CHIP RES 4.7K F 1/16W 0402
01A03M001-B01,R59,205,96,0,CHIP RES 10K F 1/16W 0402
01A03M001-B01,R89,205,96,0,CHIP RES 10K F 1/16W 0402
01A03M001-T01,R20,205,96,90,CHIP RES 0 F 1/16W 0402
01A03M001-T01,R64,205,96,0,CHIP RES 100K F 1/16W 0402
01A03M001-T01,R33,205,96,0,CHIP RES 0 F 1/16W 0402
01A03M001-T01,R28,205,96,90,CHIP RES 4.7K F 1/16W 0402
01A03M001-T01,R5,205,96,90,CHIP RES 100 F 1/16W 0402
01A03M001-T01,R63,205,96,90,CHIP RES 1K F 1/16W 0402
01A03M001-T01,R68,205,96,0,CHIP RES 100K F 1/16W 0402
01A03M001-T01,R67,205,96,0,CHIP RES 1K F 1/16W 0402
01A03M001-T01,R80,205,96,0,CHIP RES 0 F 1/16W 0402
01A03M001-T01,R85,205,96,90,CHIP RES 0 F 1/16W 0402
01A03M001-T01,R27,205,96,90,CHIP RES 4.7K F 1/16W 0402
01A03M001-T01,R38,205,96,0,CHIP RES 0 F 1/16W 0402
01A03M001-T01,R12,205,96,90,CHIP RES 100 F 1/16W 0402
01A03M001-T01,R36,205,96,0,CHIP RES 100 F 1/16W 0402
01A03M001-T01,R86,205,96,90,CHIP RES 0 F 1/16W 0402
01A03M001-T01,R87,205,96,0,CHIP RES 0 F 1/16W 0402
01A03M001-T01,R13,205,96,0,CHIP RES 4.7K F 1/16W 0402
01A03M001-T01,R66,205,96,0,CHIP RES 10K F 1/16W 0402
01A03M001-T01,R88,205,96,0,CHIP RES 0 F 1/16W 0402
01A03M001-T01,R31,205,96,90,CHIP RES 4.7K F 1/16W 0402
01A03M001-T01,R6,205,96,90,CHIP RES 100 F 1/16W 0402
01A03M001-T01,R37,205,96,0,CHIP RES 0 F 1/16W 0402
01A03M001-T01,R43,205,96,0,CHIP RES 0 F 1/16W 0402
01A03M001-T01,R62,205,96,90,CHIP RES 10K F 1/16W 0402
01A03M001-T01,R83,205,96,0,CHIP RES 0 F 1/16W 0402
01A03M001-T01,R21,205,96,90,CHIP RES 0 F 1/16W 0402
01A03M001-T01,R32,205,96,0,CHIP RES 10 F 1/16W 0402
01A03M001-T01,R7,205,96,90,CHIP RES 1K F 1/16W 0402
01A03M001-T01,R11,205,96,90,CHIP RES 100 F 1/16W 0402
01A03M001-T01,R84,205,96,0,CHIP RES 0 F 1/16W 0402
01A03M001-T01,R82,205,96,0,CHIP RES 0 F 1/16W 0402
01A03M001-T01,R34,205,96,0,CHIP RES 0 F 1/16W 0402
01A03M001-T01,R14,205,96,90,CHIP RES 4.7K F 1/16W 0402
01A03M001-T01,R4,205,96,90,CHIP RES 100 F 1/16W 0402
01A03M001-T01,R79,205,96,0,CHIP RES 0 F 1/16W 0402
03B01M004-B01,R1158,205,96,0,CHIP RES 4.7K F 1/16W 0402
03B01M004-B01,R1872,205,96,90,CHIP RESISTOR 0 F 1/16W 0402
03B01M004-B01,R1468,205,96,0,CHIP RES SMD 0402 4.99K F 1/16W
03B01M004-B01,R3272,205,96,90,CHIP RES 1K F 1/16W 0402
03B01M004-B01,R2857,205,96,90,CHIP RESISTOR 0 F 1/16W 0402
